"Informant","Northern","SentenceID","read","Version","InformantGroup","UniqueNumb","type","Realization","Reflexive","Adverb","Subcondition","WordOrder","Comment"
"NOR001","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR005","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR006","yes","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Ho Eline sa at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR022","yes","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sa at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR038","yes","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Ho Eline sa at ho ofte satt seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR046","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han bestandig sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","OTHER","change adv"
"NOR047","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR048","yes","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sier at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR056","yes","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Ho Eline sa at ho ofte sett seg bakerst i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR101","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Han Matias sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR210","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO01","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO02","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Jeg setter meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO03","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Jeg setter meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO04","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO09","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO10","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO12","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ satt meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO13","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sæft meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO14","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO15","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO16","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO17","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO18","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sette meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
"KO19","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",NA,"C",2101,"Read","Æ sett meg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV",NA,NA
